Epoch: 1060, Train Loss: 3.246, Val AUC: 0.837
Epoch: 1070, Train Loss: 3.208, Val AUC: 0.840
Epoch: 1080, Train Loss: 3.206, Val AUC: 0.837
Epoch: 1090, Train Loss: 3.181, Val AUC: 0.838
Epoch: 1100, Train Loss: 3.182, Val AUC: 0.838
Epoch: 1110, Train Loss: 3.124, Val AUC: 0.839
Epoch: 1120, Train Loss: 3.119, Val AUC: 0.837
Epoch: 1130, Train Loss: 3.111, Val AUC: 0.838
Epoch: 1140, Train Loss: 3.084, Val AUC: 0.837
Epoch: 1150, Train Loss: 3.069, Val AUC: 0.838
Epoch: 1160, Train Loss: 3.039, Val AUC: 0.838
Epoch: 1170, Train Loss: 3.033, Val AUC: 0.838
Epoch: 1180, Train Loss: 2.994, Val AUC: 0.838
Epoch: 1190, Train Loss: 3.000, Val AUC: 0.839
Epoch: 1200, Train Loss: 2.992, Val AUC: 0.838
Epoch: 1210, Train Loss: 2.980, Val AUC: 0.838
Epoch: 1220, Train Loss: 2.967, Val AUC: 0.838
Epoch: 1230, Train Loss: 2.939, Val AUC: 0.838
Epoch: 1240, Train Loss: 2.917, Val AUC: 0.837
Epoch: 1250, Train Loss: 2.869, Val AUC: 0.839
Epoch: 1260, Train Loss: 2.895, Val AUC: 0.838
Epoch: 1270, Train Loss: 2.890, Val AUC: 0.839
Epoch: 1280, Train Loss: 2.862, Val AUC: 0.837
Epoch: 1290, Train Loss: 2.829, Val AUC: 0.839
Epoch: 1300, Train Loss: 2.828, Val AUC: 0.840
Epoch: 1310, Train Loss: 2.795, Val AUC: 0.840
Epoch: 1320, Train Loss: 2.796, Val AUC: 0.840
Epoch: 1330, Train Loss: 2.784, Val AUC: 0.838
Epoch: 1340, Train Loss: 2.763, Val AUC: 0.839
Epoch: 1350, Train Loss: 2.742, Val AUC: 0.839
Epoch: 1360, Train Loss: 2.724, Val AUC: 0.840
Epoch: 1370, Train Loss: 2.721, Val AUC: 0.839
Epoch: 1380, Train Loss: 2.701, Val AUC: 0.839
Epoch: 1390, Train Loss: 2.669, Val AUC: 0.840
Epoch: 1400, Train Loss: 2.657, Val AUC: 0.839
Epoch: 1410, Train Loss: 2.628, Val AUC: 0.840
Epoch: 1420, Train Loss: 2.655, Val AUC: 0.840
Epoch: 1430, Train Loss: 2.621, Val AUC: 0.839
Epoch: 1440, Train Loss: 2.606, Val AUC: 0.840
Epoch: 1450, Train Loss: 2.619, Val AUC: 0.839
Epoch: 1460, Train Loss: 2.582, Val AUC: 0.840
Epoch: 1470, Train Loss: 2.569, Val AUC: 0.838
Epoch: 1480, Train Loss: 2.551, Val AUC: 0.839
Epoch: 1490, Train Loss: 2.543, Val AUC: 0.840
Epoch: 1500, Train Loss: 2.527, Val AUC: 0.839
Epoch: 1510, Train Loss: 2.518, Val AUC: 0.839
Epoch: 1520, Train Loss: 2.479, Val AUC: 0.840
Epoch: 1530, Train Loss: 2.487, Val AUC: 0.838
Epoch: 1540, Train Loss: 2.483, Val AUC: 0.838
Epoch: 1550, Train Loss: 2.469, Val AUC: 0.838
Epoch: 1560, Train Loss: 2.431, Val AUC: 0.839
Epoch: 1570, Train Loss: 2.417, Val AUC: 0.838
Epoch: 1580, Train Loss: 2.441, Val AUC: 0.839
Epoch: 1590, Train Loss: 2.406, Val AUC: 0.839
Epoch: 1600, Train Loss: 2.424, Val AUC: 0.836
Epoch: 1610, Train Loss: 2.397, Val AUC: 0.837
Epoch: 1620, Train Loss: 2.402, Val AUC: 0.838
Epoch: 1630, Train Loss: 2.377, Val AUC: 0.838
Epoch: 1640, Train Loss: 2.369, Val AUC: 0.838
Epoch: 1650, Train Loss: 2.354, Val AUC: 0.838
Epoch: 1660, Train Loss: 2.357, Val AUC: 0.837
Epoch: 1670, Train Loss: 2.344, Val AUC: 0.837
Epoch: 1680, Train Loss: 2.334, Val AUC: 0.838
Epoch: 1690, Train Loss: 2.306, Val AUC: 0.839
Epoch: 1700, Train Loss: 2.298, Val AUC: 0.837
Epoch: 1710, Train Loss: 2.279, Val AUC: 0.838
Epoch: 1720, Train Loss: 2.291, Val AUC: 0.838
Epoch: 1730, Train Loss: 2.264, Val AUC: 0.838
Epoch: 1740, Train Loss: 2.269, Val AUC: 0.838
Epoch: 1750, Train Loss: 2.249, Val AUC: 0.837
Epoch: 1760, Train Loss: 2.241, Val AUC: 0.838
Epoch: 1770, Train Loss: 2.216, Val AUC: 0.838
Epoch: 1780, Train Loss: 2.215, Val AUC: 0.838
Epoch: 1790, Train Loss: 2.226, Val AUC: 0.837
Epoch: 1800, Train Loss: 2.215, Val AUC: 0.835
Epoch: 1810, Train Loss: 2.196, Val AUC: 0.838
Epoch: 1820, Train Loss: 2.196, Val AUC: 0.837
Epoch: 1830, Train Loss: 2.182, Val AUC: 0.836
Epoch: 1840, Train Loss: 2.167, Val AUC: 0.837
Epoch: 1850, Train Loss: 2.151, Val AUC: 0.838
Epoch: 1860, Train Loss: 2.142, Val AUC: 0.837
Epoch: 1870, Train Loss: 2.143, Val AUC: 0.836
Epoch: 1880, Train Loss: 2.131, Val AUC: 0.836
Epoch: 1890, Train Loss: 2.116, Val AUC: 0.837
Epoch: 1900, Train Loss: 2.117, Val AUC: 0.837
Epoch: 1910, Train Loss: 2.101, Val AUC: 0.837
Epoch: 1920, Train Loss: 2.075, Val AUC: 0.837
Epoch: 1930, Train Loss: 2.096, Val AUC: 0.836
Epoch: 1940, Train Loss: 2.074, Val AUC: 0.836
Epoch: 1950, Train Loss: 2.076, Val AUC: 0.837
Epoch: 1960, Train Loss: 2.073, Val AUC: 0.836
Epoch: 1970, Train Loss: 2.042, Val AUC: 0.837
Epoch: 1980, Train Loss: 2.049, Val AUC: 0.838
Epoch: 1990, Train Loss: 2.032, Val AUC: 0.838
Epoch: 2000, Train Loss: 2.033, Val AUC: 0.836
Epoch: 2010, Train Loss: 2.025, Val AUC: 0.836
Epoch: 2020, Train Loss: 2.015, Val AUC: 0.838
Epoch: 2030, Train Loss: 1.995, Val AUC: 0.836
Epoch: 2040, Train Loss: 1.995, Val AUC: 0.838
Epoch: 2050, Train Loss: 1.977, Val AUC: 0.837
